Designator,Mid X,Mid Y,Rotation,Layer
D1,209.61,-57.74,270.0,bottom
D10,195.40375,-133.94,270.0,bottom
D11,157.2225,-57.87125,270.0,bottom
D12,166.7475,-76.92125,270.0,bottom
D13,171.535,-95.89,270.0,bottom
D15,176.35375,-133.94,270.0,bottom
D16,138.1725,-57.87125,270.0,bottom
D17,147.6975,-76.92125,270.0,bottom
D18,152.485,-95.89,270.0,bottom
D19,169.12875,-114.64,270.0,bottom
D2,207.22875,-76.92125,270.0,bottom
D21,119.1225,-57.87125,270.0,bottom
D22,128.6475,-76.92125,270.0,bottom
D23,133.435,-95.89,270.0,bottom
D24,142.935,-114.64,270.0,bottom
D25,157.30375,-133.94,270.0,bottom
D26,100.0725,-57.87125,270.0,bottom
D27,109.5975,-76.92125,270.0,bottom
D28,114.385,-95.89,270.0,bottom
D29,123.885,-114.64,270.0,bottom
D3,214.3975,-95.89,270.0,bottom
D30,138.25375,-133.94,270.0,bottom
D31,80.435,-59.89,270.0,bottom
D32,90.5475,-76.92125,270.0,bottom
D33,95.335,-95.89,270.0,bottom
D34,104.835,-114.64,270.0,bottom
D35,119.20375,-133.94,270.0,bottom
D36,61.9725,-57.87125,270.0,bottom
D37,71.4975,-76.92125,270.0,bottom
D38,76.285,-95.89,270.0,bottom
D39,85.785,-114.64,270.0,bottom
D4,214.3725,-114.64,270.0,bottom
D41,45.885,-55.19,270.0,bottom
D42,54.535,-73.29,270.0,bottom
D43,59.385,-92.79,270.0,bottom
D44,68.335,-110.44,270.0,bottom
D5,214.45375,-133.94,270.0,bottom
D6,181.035,-57.87125,270.0,bottom
D7,188.17875,-86.44625,270.0,bottom
D8,83.485,-133.94,270.0,bottom
D9,195.3225,-114.64,270.0,bottom
J2,84.16,-44.84,180.0,bottom
SW-ONOFF-01,91.4,-47.095,315.0,top
SW1,52.4475,-65.015,0.0,top
SW10,61.9725,-84.065,0.0,top
SW11,81.0225,-84.065,0.0,top
SW12,100.0725,-84.065,0.0,top
SW13,119.1225,-84.065,0.0,top
SW14,138.1725,-84.065,0.0,top
SW15,157.2225,-84.065,0.0,top
SW16,176.2725,-84.065,0.0,top
SW17,202.4475,-93.59,0.0,top
SW18,223.8975,-84.065,0.0,top
SW19,66.735,-103.115,0.0,top
SW2,71.4975,-65.015,0.0,top
SW20,85.785,-103.115,0.0,top
SW21,104.835,-103.115,0.0,top
SW22,123.885,-103.115,0.0,top
SW23,142.935,-103.115,0.0,top
SW24,161.985,-103.115,0.0,top
SW25,181.035,-103.115,0.0,top
SW26,223.8975,-103.115,0.0,top
SW27,76.26,-122.165,0.0,top
SW28,95.31,-122.165,0.0,top
SW29,114.36,-122.165,0.0,top
SW3,90.5475,-65.015,0.0,top
SW30,133.41,-122.165,0.0,top
SW31,152.46,-122.165,0.0,top
SW32,178.65375,-122.165,0.0,top
SW33,204.8475,-122.165,0.0,top
SW34,223.8975,-122.165,0.0,top
SW35,92.92875,-141.215,0.0,top
SW36,128.6475,-141.215,0.0,top
SW37,147.6975,-141.215,0.0,top
SW38,166.7475,-141.215,0.0,top
SW39,185.7975,-141.215,0.0,top
SW4,109.5975,-65.015,0.0,top
SW40,204.8475,-141.215,0.0,top
SW41,223.8975,-141.215,0.0,top
SW5,128.6475,-65.015,0.0,top
SW6,147.6975,-65.015,0.0,top
SW7,166.7475,-65.015,0.0,top
SW8,195.3225,-65.015,0.0,top
SW9,223.8975,-65.015,0.0,top
U1,63.3225,-43.49,270.0,top
